Name,Datum,Art,Schwelle,Anteil,Anteil 21_22,id,Kommentar
Siemens Aktiengesellschaft,23.01.2013,>,5%,6.07%,"3,60%",id_10568062.html,
Siemens Aktiengesellschaft,23.01.2013,>,3%,3.60%,"0,04%",id_10568072.html,"mehrere Daten, "
Siemens Aktiengesellschaft,23.01.2013,>,5%,6.89%,"3,60%",id_10568080.html,
WINCOR NIXDORF Aktiengesellschaft,21.01.2013,<>,5%,5.26%,"2,82%",id_10583626.html,"2 in 1er Meldung, "
WINCOR NIXDORF Aktiengesellschaft,21.01.2013,<>,5%,5.30%,"2,82%",id_10583646.html,"2 in 1er Meldung, "
WINCOR NIXDORF Aktiengesellschaft,29.01.2013,<,5%,0.11%,"0,11%",id_10625056.html,
WINCOR NIXDORF Aktiengesellschaft,29.01.2013,<,5%,0.15%,"0,11%",id_10625065.html,
Siemens Aktiengesellschaft,04.02.2013,<,3%,0.04%,"0,04%",id_10649238.html,"mehrere Daten, "
Siemens Aktiengesellschaft,04.02.2013,<,5%,0%,"0,04%",id_10649317.html,
Siemens Aktiengesellschaft,04.02.2013,<,5%,1.06%,"0,04%",id_10649319.html,
Continental AG,19.02.2013,>,5%,50.02%,"0,01%",id_10779984.html,
Continental AG,19.02.2013,>,50%,50.02%,"0,01%",id_10779998.html,
Daimler AG,5.04.2013,>,5%,6.93%,"3,58%",id_10950042.html,
RWE Aktiengesellschaft,15.04.2013,>,5%,5.27%,"2,84%",id_10966896.html,
Daimler AG,23.04.2013,<,5%,0%,"0,08%",id_11018337.html,
Merck KGaA,23.04.2013,>,5%,6.10%,"5,08%",id_11027229.html,
Merck KGaA,23.04.2013,>,"3%, 5%",5.08%,???,id_11027235.html,"§21,22 unklar, "
Merck KGaA,23.04.2013,>,5%,6.22%,"5,08%",id_11027255.html,
Bayer Aktiengesellschaft,24.04.2013,>,5%,7.31%,"3,63%",id_11038801.html,
Bayer Aktiengesellschaft,24.04.2013,>,3%,3.63%,"0,03%",id_11038804.html,"mehrere Daten, "
Bayer Aktiengesellschaft,24.04.2013,>,5%,8.36%,"3,63%",id_11038811.html,
Münchener Rückversicherungs-Gesellschaft,23.04.2013,>,5%,7.64%,"3,56%",id_11038852.html,
Münchener Rückversicherungs-Gesellschaft,23.04.2013,>,5%,8.54%,"3,56%",id_11038853.html,
Münchener Rückversicherungs-Gesellschaft,23.04.2013,>,3%,3.56%,"0,14% §22 ABs. 1",id_11038886.html,"mehrere Daten, "
BASF SE,25.04.2013,>,3%,3.86%,???,id_11045545.html,"mehrere Daten, §21,22 unklar, "
RWE Aktiengesellschaft,02.05.2013,<,5%,1.67%,"0,04%",id_11051577.html,
